"taxaname" "XC95.all" "N" "xc95.sub" "N.sub" "Eco69_xc95" "Eco69_N" "Eco70_xc95" "Eco70_N" "xc95.sub69" "N.sub69" "xc95.sub70" "N.sub70" "xc95.lgSO4HCO3_69" "N.SO4HCO3_69" "xc95.lgSO4HCO3_70" "N.SO4HCO3_70" "Eco69.spr_xc95" "Eco69.spr_N" "Eco69.sum_xc95" "Eco69.sum_N" "Eco70.spr_xc95" "Eco70.spr_N" "Eco70.sum_xc95" "Eco70.sum_N" "Order" "Family"
"53" "Diploperla" 391 201 1115 65 664 49 338 152 NA NA 565 60 198 32 184 103 706 43 NA NA 567 145 NA NA "Plecoptera" "Perlodidae"
"54" "Dixa" 844 95 1831 49 1747 70 398 25 1831 38 NA NA 1248 53 NA NA 1831 33 668 35 NA NA NA NA "Diptera" "Dixidae"
"55" "Dolophilodes" 1036 564 2768 425 2768 479 7053 85 1948 374 863 54 686 349 3736 66 1102 194 2242 273 1019 47 7053 34 "Trichoptera" "Philopotamidae"
"56" "Drunella" 243 295 423 201 427 217 136 78 567 165 165 44 442 173 70 53 678 183 173 34 151 74 NA NA "Ephemeroptera" "Ephemerellidae"
"57" "Dubiraphia" 7340 272 2605 62 1890 72 7370 200 664 27 3489 47 1199 51 5346 146 NA NA 1165 52 3162 46 6468 153 "Coleoptera" "Elmidae"
"58" "Eccoptura" 681 99 1120 44 768 48 648 51 619 31 NA NA 500 32 374 31 939 35 NA NA 1210 36 NA NA "Plecoptera" "Perlidae"
"59" "Ectopria" 1505 501 2768 250 2768 287 1346 214 2768 193 1244 71 848 202 619 156 1098 115 2768 163 1175 101 2148 111 "Coleoptera" "Psephenidae"
"60" "Epeorus" 345 752 394 488 317 449 481 303 395 366 396 144 165 352 259 209 452 260 298 173 859 264 NA NA "Ephemeroptera" "Heptageniidae"
"61" "Ephemera" 478 220 342 123 363 130 1978 90 298 92 356 40 198 95 1505 51 298 55 403 70 1175 27 1240 59 "Ephemeroptera" "Ephemeridae"
"62" "Ephemerella" 335 683 488 381 418 367 283 316 599 246 319 168 223 292 134 228 585 333 NA NA 431 282 NA NA "Ephemeroptera" "Ephemerellidae"
"63" "Eukiefferiella" 1858 796 1948 362 1948 491 1977 305 2440 281 1324 103 1213 316 949 207 1592 256 1979 227 1951 215 2523 80 "Diptera" "Chironomidae"
"64" "Eurylophella" 434 289 363 105 574 143 346 146 405 58 361 57 172 77 171 80 473 70 692 69 395 115 NA NA "Ephemeroptera" "Ephemerellidae"
"65" "Gammarus" 10350 317 1525 95 2344 85 4713 232 1103 54 1726 48 1682 54 5237 185 1338 39 2344 46 1951 60 4713 171 "Amphipoda" "Gammaridae"
"66" "Glossosoma" 1426 226 1649 151 2110 206 NA NA 1650 140 NA NA 990 123 NA NA 1698 48 1564 156 NA NA NA NA "Trichoptera" "Glossosomatidae"
"67" "Goera" 723 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Trichoptera" "Goeridae"
"68" "Haploperla" 410 445 538 257 468 233 403 212 612 173 480 101 270 190 190 145 574 165 588 60 508 179 NA NA "Plecoptera" "Chloroperlidae"
"69" "Heleniella" 2016 74 2768 36 2768 56 NA NA 2768 32 NA NA 210 39 NA NA 393 34 NA NA NA NA NA NA "Diptera" "Chironomidae"
"70" "Helichus" 11646 553 1150 192 2344 228 11646 325 1222 123 659 97 1682 141 4813 185 1323 91 2344 133 1361 203 11646 120 "Coleoptera" "Dryopidae"
"71" "Hemerodromia" 10235 865 5266 244 2768 438 10350 427 2768 172 5266 95 1664 241 5346 298 1534 100 2768 336 3725 86 9790 337 "Diptera" "Empididae"
"72" "Heptagenia" 301 113 299 68 345 72 294 41 343 54 NA NA 180 59 NA NA 364 36 337 36 563 39 NA NA "Ephemeroptera" "Heptageniidae"
"73" "Hexatoma" 7340 1251 2768 487 2768 440 7370 811 2296 312 5266 216 951 335 5346 530 854 215 2768 214 1479 406 7340 391 "Diptera" "Tipulidae"
"74" "Hydroporus" 822 37 NA NA NA NA 822 37 NA NA NA NA NA NA NA NA NA NA NA NA 810 35 NA NA "Coleoptera" "Dytiscidae"
"75" "Hydropsyche" 7370 1628 3174 583 3174 859 10140 769 2768 434 2605 207 1682 556 5346 594 1725 181 3174 672 3725 172 7257 588 "Trichoptera" "Hydropsychidae"
"76" "Hydroptila" 11227 615 5266 168 2443 229 11227 386 2440 101 5266 85 1664 161 4909 294 1534 42 2440 184 2741 92 11227 294 "Trichoptera" "Hydroptilidae"
"77" "Isonychia" 1146 1303 1222 539 1270 649 1017 654 1222 375 965 216 755 425 473 381 982 119 1265 527 1084 265 924 368 "Ephemeroptera" "Isonychiidae"
"78" "Isoperla" 468 868 719 370 633 327 460 541 1014 214 731 197 338 246 221 330 733 276 1110 46 814 490 NA NA "Plecoptera" "Perlodidae"
"79" "Krenopelopia" 2320 63 NA NA NA NA 2320 44 NA NA NA NA NA NA 1396 35 NA NA NA NA NA NA 2320 28 "Diptera" "Chironomidae"
"80" "Krenosmittia" 913 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"81" "Lanthus" 2087 74 2087 42 2087 45 1091 29 2087 31 NA NA 902 26 NA NA NA NA 2087 27 NA NA NA NA "Odonata" "Gomphidae"
"82" "Larsia" 5258 121 464 27 NA NA 5258 98 NA NA NA NA NA NA 2936 46 NA NA NA NA 1460 83 NA NA "Diptera" "Chironomidae"
"83" "Lepidostoma" 183 170 487 131 411 155 NA NA 584 122 NA NA 438 126 NA NA 797 117 144 35 NA NA NA NA "Trichoptera" "Lepidostomatidae"
"84" "Leptophlebia" 235 115 230 57 193 56 805 59 267 40 NA NA 158 39 328 42 267 40 NA NA 912 56 NA NA "Ephemeroptera" "Leptophlebiidae"
"85" "Leucrocuta" 396 369 402 170 373 152 727 217 385 129 968 57 194 120 342 107 351 38 377 109 1175 190 978 27 "Ephemeroptera" "Heptageniidae"
"86" "Leuctra" 2087 1936 2768 873 2006 926 2257 1010 2768 598 2257 350 902 654 1173 651 1327 494 2768 418 1175 668 2738 328 "Plecoptera" "Leuctridae"
"87" "Limnophila" 1814 70 2768 46 2768 50 NA NA 2768 38 NA NA 460 40 NA NA 478 33 NA NA NA NA NA NA "Diptera" "Tipulidae"
"88" "Limnophyes" 5120 124 1729 34 1912 76 5120 48 1746 26 NA NA 1213 43 2256 38 1890 30 1979 46 5120 30 NA NA "Diptera" "Chironomidae"
"89" "Limonia" 5057 68 NA NA 2257 33 5057 35 NA NA NA NA NA NA 1443 30 NA NA 2257 29 NA NA 5057 33 "Diptera" "Tipulidae"
"90" "Lirceus" 1190 153 1329 29 NA NA 1247 131 NA NA 1534 31 NA NA 688 67 NA NA NA NA 480 115 NA NA "Isopoda" "Asellidae"
"91" "Lype" 450 32 NA NA 620 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Trichoptera" "Psychomyiidae"
"92" "Maccaffertium" 779 793 830 354 838 353 783 440 839 239 767 150 506 316 413 285 666 119 838 223 588 180 820 232 "Ephemeroptera" "Heptageniidae"
"93" "Macronychus" 2160 99 2160 32 2160 36 1605 63 NA NA NA NA 1467 25 911 42 NA NA 2160 25 NA NA 1486 48 "Coleoptera" "Elmidae"
"94" "Malirekus" 771 45 889 34 870 34 NA NA 928 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Plecoptera" "Perlodidae"
"95" "Microcylloepus" 3341 231 2440 115 3341 155 2558 76 2440 89 2558 38 1412 112 1506 51 NA NA 3341 140 NA NA 2558 67 "Coleoptera" "Elmidae"
"96" "Micropsectra" 6468 390 1005 205 1119 217 6468 173 1014 156 1347 59 686 162 2518 122 1102 112 1179 102 5120 109 6468 61 "Diptera" "Chironomidae"
"97" "Microtendipes" 3489 823 2257 306 1125 361 3972 462 1101 224 3489 105 472 251 2750 328 790 137 1048 212 1431 181 3489 270 "Diptera" "Chironomidae"
"98" "Microvelia" 2523 47 NA NA NA NA 2523 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Hemiptera" "Veliidae"
"99" "Molophilus" 2169 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Diptera" "Tipulidae"
"100" "Natarsia" 2344 61 NA NA NA NA 1786 48 NA NA NA NA NA NA 1004 41 NA NA NA NA NA NA 1740 34 "Diptera" "Chironomidae"
"101" "Neophylax" 356 282 806 189 434 138 499 144 653 116 563 83 1248 113 197 105 734 118 NA NA 814 114 NA NA "Trichoptera" "Uenoidae"
"102" "Neureclipsis" 1424 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Trichoptera" "Polycentropodidae"
"103" "Nigronia" 5720 1172 3174 530 3140 669 7340 503 2169 384 1726 181 1682 439 4512 347 1055 171 3140 494 3291 164 5720 326 "Megaloptera" "Corydalidae"
"104" "Nilotanypus" 2360 149 1484 35 2006 30 2630 119 NA NA 1360 29 NA NA 1162 75 NA NA NA NA 1330 56 2630 63 "Diptera" "Chironomidae"
"105" "Nixe" 316 219 293 62 NA NA 359 200 NA NA 376 68 NA NA 178 123 NA NA NA NA 399 197 NA NA "Ephemeroptera" "Heptageniidae"
"106" "Ochrotrichia" 2791 54 NA NA NA NA 2791 48 NA NA NA NA NA NA 1304 29 NA NA NA NA 2020 43 NA NA "Trichoptera" "Hydroptilidae"
"107" "Optioservus" 7010 2365 3174 893 3174 1134 7370 1231 2768 593 5266 392 1426 749 4909 835 1530 289 2768 836 1820 503 7010 699 "Coleoptera" "Elmidae"
"108" "Orconectes" 3162 290 1842 59 2226 79 3162 211 NA NA 1842 47 1498 46 1505 138 NA NA 2226 69 3162 70 2030 141 "Decapoda" "Cambaridae"
"109" "Ormosia" 1959 42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Diptera" "Tipulidae"
"110" "Orthocladius" 3341 341 1755 138 3794 174 2523 167 1773 97 485 52 850 97 507 79 1534 59 3794 115 805 100 2523 64 "Diptera" "Chironomidae"
"111" "Oulimnius" 2791 409 2768 268 2768 379 5000 30 2768 259 NA NA 1199 267 NA NA 1014 141 2768 230 NA NA NA NA "Coleoptera" "Elmidae"
"112" "Pagastia" 1800 74 1443 34 824 36 1970 38 NA NA NA NA 467 29 1299 29 NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"113" "Paracapnia" 419 50 292 35 468 45 NA NA 351 30 NA NA 325 33 NA NA NA NA 472 35 NA NA NA NA "Plecoptera" "Capniidae"
"114" "Parachaetocladius" 1183 232 2768 144 2768 192 1285 40 2768 133 NA NA 342 125 815 35 520 45 2768 136 NA NA 1256 25 "Diptera" "Chironomidae"
"115" "Paracladopelma" 1613 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"116" "Paragnetina" 2087 77 2087 70 2087 71 NA NA 2087 65 NA NA 954 54 NA NA NA NA 2087 52 NA NA NA NA "Plecoptera" "Perlidae"
"117" "Parakiefferiella" 1689 91 NA NA 1896 39 1569 52 NA NA NA NA NA NA 1021 31 NA NA NA NA 1480 34 NA NA "Diptera" "Chironomidae"
"118" "Paraleptophlebia" 389 675 344 301 266 275 706 400 248 184 506 144 140 206 295 237 351 158 293 107 631 323 978 72 "Ephemeroptera" "Leptophlebiidae"
"119" "Parametriocnemus" 4636 2277 2768 800 2485 1011 4713 1266 2768 543 2290 339 1412 676 2348 846 1453 436 2485 561 2493 701 4713 530 "Diptera" "Chironomidae"
"120" "Paraphaenocladius" 6468 77 1543 30 3341 34 6468 43 NA NA NA NA NA NA 1113 25 NA NA NA NA NA NA 6468 25 "Diptera" "Chironomidae"
"121" "Paratanytarsus" 3489 180 2257 40 1759 78 3489 102 NA NA NA NA 1138 43 2936 69 1649 34 1823 44 3314 53 4649 47 "Diptera" "Chironomidae"
"122" "Peltoperla" 746 188 1589 125 1354 156 824 32 1611 112 NA NA 1069 112 NA NA 1106 93 1603 61 NA NA NA NA "Plecoptera" "Peltoperlidae"
"123" "Perlesta" 6492 518 992 114 2344 65 6492 453 847 29 6492 112 1682 50 831 254 1534 50 NA NA 3162 425 6492 27 "Plecoptera" "Perlidae"
"124" "Phaenopsectra" 2332 116 NA NA 2226 55 2332 61 NA NA NA NA 1498 28 964 48 NA NA 2226 47 317 31 2332 30 "Diptera" "Chironomidae"
"125" "Physella" 9790 231 2605 30 2257 48 7340 183 NA NA NA NA 1138 28 6150 120 NA NA 2257 39 1276 81 7340 102 "Basommatophora" "Physidae"
"126" "Pisidium" 1445 69 NA NA NA NA 1402 49 NA NA NA NA NA NA 911 36 NA NA NA NA NA NA 1404 27 "Veneroida" "Pisidiidae"
"127" "Platysmittia" 387 35 NA NA 454 31 NA NA NA NA NA NA 353 29 NA NA NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"128" "Plauditus" 843 716 847 310 1323 351 688 365 911 229 697 115 546 261 346 221 989 164 1176 185 761 315 795 49 "Ephemeroptera" "Baetidae"
"129" "Polycentropus" 2445 641 2768 392 2768 449 2641 192 2608 325 1440 80 1138 341 2518 140 796 226 2768 209 1820 76 4713 107 "Trichoptera" "Polycentropodidae"
"130" "Polypedilum" 4400 2749 2768 932 2226 1151 4636 1598 2768 618 2257 419 1049 765 3794 1058 1450 414 2216 724 2439 768 4400 803 "Diptera" "Chironomidae"
"131" "Potthastia" 1633 89 1896 42 1896 57 944 32 1896 34 NA NA 902 36 NA NA NA NA 1896 33 NA NA NA NA "Diptera" "Chironomidae"
"132" "Procladius" 11227 46 NA NA NA NA 11227 35 NA NA NA NA NA NA 4529 30 NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"133" "Procloeon" 657 145 768 49 558 58 708 87 580 32 NA NA 304 39 389 54 NA NA 518 43 350 54 764 33 "Ephemeroptera" "Baetidae"
"134" "Promoresia" 456 128 1058 103 735 115 NA NA 1104 97 NA NA 378 77 NA NA 162 31 621 83 NA NA NA NA "Coleoptera" "Elmidae"
"135" "Prosimulium" 1451 271 655 149 591 130 2148 141 655 103 585 56 274 102 359 79 572 102 NA NA 2439 122 NA NA "Diptera" "Simuliidae"
"136" "Prostoia" 401 35 328 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Plecoptera" "Nemouridae"
"137" "Psephenus" 6492 1503 1326 511 3140 503 7105 1000 1194 288 3489 289 2256 345 5346 658 1323 120 3140 380 1479 460 6475 515 "Coleoptera" "Psephenidae"
"138" "Pseudochironomus" 11646 74 NA NA NA NA 11646 50 NA NA NA NA NA NA 4813 35 NA NA NA NA NA NA 11646 33 "Diptera" "Chironomidae"
"139" "Pseudolimnophila" 6492 221 1168 86 697 79 6492 142 1322 50 6492 49 867 59 1299 104 651 49 1195 27 1298 94 6492 47 "Diptera" "Tipulidae"
"140" "Psilometriocnemus" 1632 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"141" "Psychomyia" 895 58 1388 40 1239 51 NA NA 1388 37 NA NA 596 30 NA NA NA NA 1388 39 NA NA NA NA "Trichoptera" "Psychomyiidae"
"142" "Pteronarcys" 525 211 2768 176 2768 207 NA NA 2768 174 NA NA 1664 159 NA NA 515 97 2768 102 NA NA NA NA "Plecoptera" "Pteronarcyidae"
"143" "Pycnopsyche" 343 93 338 54 255 67 784 26 232 44 NA NA 138 50 NA NA 487 52 NA NA NA NA NA NA "Trichoptera" "Limnephilidae"
"144" "Remenus" 108 63 304 34 232 53 NA NA 490 28 NA NA 127 43 NA NA 304 52 NA NA NA NA NA NA "Plecoptera" "Perlodidae"
"145" "Rhagovelia" 2030 52 NA NA 1188 25 2030 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Hemiptera" "Veliidae"
"146" "Rheocricotopus" 4636 908 3174 225 3140 375 4636 533 3174 137 3489 122 2256 210 3676 323 1450 82 3140 292 1346 294 4636 238 "Diptera" "Chironomidae"
"147" "Rheopelopia" 1341 134 1315 56 1236 62 2523 72 1247 41 NA NA 902 26 812 31 NA NA 698 45 NA NA 2523 50 "Diptera" "Chironomidae"
"148" "Rheotanytarsus" 4400 1558 2605 531 2168 683 4400 875 2485 350 2605 237 1351 433 3676 572 1386 144 2160 538 1346 281 4400 588 "Diptera" "Chironomidae"
"149" "Rhyacophila" 1569 710 1175 502 2054 519 1977 191 1203 409 993 110 1057 392 435 134 969 269 3794 234 1175 152 NA NA "Trichoptera" "Rhyacophilidae"
"150" "Serratella" 449 148 694 120 474 132 NA NA 585 109 NA NA 607 110 NA NA 249 33 563 97 NA NA NA NA "Ephemeroptera" "Ephemerellidae"
"151" "Sialis" 11227 365 2605 94 2226 124 4636 241 2054 57 2605 50 1664 81 4529 205 499 26 2226 97 3725 51 4636 189 "Megaloptera" "Sialidae"
"152" "Simulium" 5120 1965 3174 734 2440 964 6468 1001 2440 517 2605 287 1248 637 2552 629 1466 301 2160 662 2439 516 6468 475 "Diptera" "Simuliidae"
"153" "Stempellina" 563 60 672 31 322 37 NA NA NA NA NA NA 111 31 NA NA NA NA NA NA NA NA NA NA "Diptera" "Chironomidae"
"154" "Stempellinella" 920 424 2768 177 2768 162 1077 262 2768 120 1184 75 252 110 557 163 418 95 2768 64 973 98 1066 164 "Diptera" "Chironomidae"
"155" "Stenacron" 843 479 860 214 425 234 1100 245 478 155 1141 74 229 180 554 180 340 102 451 128 973 89 1087 152 "Ephemeroptera" "Heptageniidae"
"156" "Stenelmis" 7010 2224 2605 592 2169 519 6620 1705 1896 281 3489 427 1467 367 4529 1111 1027 150 2169 368 1951 826 4884 869 "Coleoptera" "Elmidae"
"157" "Stenonema" 845 1218 914 483 931 604 945 614 933 330 710 193 513 310 494 344 837 137 887 461 1175 316 807 289 "Ephemeroptera" "Heptageniidae"
"158" "Strophopteryx" 159 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Plecoptera" "Taeniopterygidae"
"159" "Stylogomphus" 6468 161 1475 40 2445 91 6468 70 1322 31 NA NA 1682 56 1396 55 NA NA 2445 75 NA NA 6468 54 "Odonata" "Gomphidae"
"160" "Sublettea" 2087 308 2440 132 2087 184 2294 124 2440 89 1325 49 1412 128 916 92 989 36 2087 147 586 28 2294 95 "Diptera" "Chironomidae"
"161" "Sweltsa" 6492 480 3174 249 2904 224 6492 256 3174 158 6492 113 896 168 1250 164 981 102 3174 114 808 128 6492 115 "Plecoptera" "Chloroperlidae"
